epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1030.19,0.65827,0.50409,0.90683,0.8219,0.89982,0.87411,0.66205,0.91415,0.67651,0.95843,0.000197992,0.000197992,0.000197992
148,1036.92,0.65351,0.49058,0.8932,0.84898,0.86311,0.86995,0.66305,0.90298,0.67806,0.95313,0.000194458,0.000194458,0.000194458
149,1043.63,0.65226,0.48285,0.89305,0.86683,0.86188,0.88051,0.65594,0.90494,0.67467,0.9536,0.000190924,0.000190924,0.000190924
150,1050.58,0.63682,0.47199,0.87481,0.88031,0.865,0.87992,0.66621,0.9138,0.66349,0.96185,0.000187389,0.000187389,0.000187389
151,1057.43,0.62056,0.44019,0.87854,0.85037,0.88156,0.88892,0.67221,0.90444,0.65438,0.95339,0.000183855,0.000183855,0.000183855
152,1064.12,0.65787,0.48935,0.88448,0.86602,0.86759,0.89261,0.67249,0.91108,0.6767,0.96056,0.000180321,0.000180321,0.000180321
153,1070.9,0.62631,0.45965,0.88265,0.86947,0.83576,0.88457,0.67105,0.91331,0.67629,0.96507,0.000176786,0.000176786,0.000176786
154,1077.67,0.65848,0.49397,0.89717,0.83636,0.85409,0.88257,0.66704,0.91126,0.69007,0.96457,0.000173252,0.000173252,0.000173252
155,1084.9,0.65122,0.48456,0.90013,0.84273,0.87373,0.87859,0.65611,0.90837,0.68302,0.95819,0.000169718,0.000169718,0.000169718
156,1091.72,0.62949,0.48307,0.89259,0.83435,0.87275,0.87789,0.66298,0.91559,0.66909,0.96672,0.000166183,0.000166183,0.000166183
157,1098.52,0.61555,0.48003,0.89008,0.82466,0.87188,0.87591,0.65123,0.93271,0.7201,0.97313,0.000162649,0.000162649,0.000162649
158,1105.29,0.64193,0.47768,0.88804,0.82422,0.87761,0.86642,0.64971,0.91384,0.71268,0.97441,0.000159115,0.000159115,0.000159115
159,1111.99,0.63774,0.48619,0.89455,0.84716,0.87016,0.89086,0.67144,0.90669,0.67357,0.97075,0.000155581,0.000155581,0.000155581
160,1119.39,0.61879,0.45576,0.87702,0.83413,0.88752,0.88977,0.68036,0.90617,0.66082,0.95774,0.000152046,0.000152046,0.000152046
161,1126.19,0.62447,0.48138,0.89882,0.85997,0.86138,0.89106,0.6795,0.9064,0.66125,0.96295,0.000148512,0.000148512,0.000148512
162,1133,0.59948,0.44095,0.8747,0.82759,0.88305,0.88481,0.67162,0.90979,0.67389,0.96681,0.000144978,0.000144978,0.000144978
163,1139.83,0.63075,0.47303,0.89365,0.82279,0.88996,0.8819,0.67293,0.89585,0.66299,0.95709,0.000141443,0.000141443,0.000141443
164,1146.93,0.63997,0.49407,0.89717,0.83899,0.88207,0.89188,0.6815,0.89768,0.66062,0.95256,0.000137909,0.000137909,0.000137909
165,1153.87,0.62891,0.48711,0.89756,0.85982,0.85948,0.89741,0.68557,0.89404,0.6503,0.95329,0.000134375,0.000134375,0.000134375
166,1160.74,0.62793,0.47075,0.88501,0.86512,0.8646,0.89069,0.66475,0.91995,0.66297,0.96802,0.000130841,0.000130841,0.000130841
167,1167.53,0.60725,0.45746,0.88746,0.86026,0.88147,0.88544,0.66633,0.91231,0.65758,0.96982,0.000127306,0.000127306,0.000127306
168,1174.28,0.61044,0.4383,0.87652,0.86471,0.84224,0.87962,0.6654,0.90728,0.65852,0.96495,0.000123772,0.000123772,0.000123772
169,1181.66,0.60682,0.44928,0.87821,0.83012,0.87356,0.88644,0.66761,0.90785,0.64676,0.9653,0.000120238,0.000120238,0.000120238
170,1188.41,0.62581,0.48753,0.89989,0.83064,0.8855,0.89299,0.6695,0.89559,0.6529,0.96131,0.000116703,0.000116703,0.000116703
171,1195.1,0.63589,0.45828,0.90044,0.86779,0.86046,0.88952,0.67803,0.90175,0.65599,0.9651,0.000113169,0.000113169,0.000113169
172,1201.89,0.64148,0.48609,0.90592,0.85197,0.87657,0.89404,0.67786,0.90043,0.66081,0.96772,0.000109635,0.000109635,0.000109635
173,1208.61,0.62134,0.48594,0.8993,0.8664,0.86729,0.89496,0.68227,0.90433,0.64562,0.96624,0.0001061,0.0001061,0.0001061
174,1216.08,0.59824,0.45548,0.8739,0.85328,0.86765,0.89221,0.67874,0.90637,0.65178,0.9661,0.000102566,0.000102566,0.000102566
175,1222.92,0.60391,0.43849,0.87735,0.85984,0.86876,0.88251,0.6705,0.9065,0.68206,0.96636,9.90318e-05,9.90318e-05,9.90318e-05
176,1229.69,0.6183,0.45733,0.89257,0.85886,0.8491,0.88851,0.68099,0.89998,0.65638,0.96123,9.54975e-05,9.54975e-05,9.54975e-05
177,1236.52,0.59723,0.45429,0.89249,0.87947,0.85394,0.89262,0.68631,0.89555,0.6356,0.95666,9.19632e-05,9.19632e-05,9.19632e-05
178,1243.85,0.58819,0.43896,0.87289,0.89509,0.81364,0.87832,0.67608,0.90049,0.65604,0.96248,8.84289e-05,8.84289e-05,8.84289e-05
