epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1103.24,0.57615,0.43168,0.90853,0.84566,0.82138,0.85732,0.66159,0.90949,0.71388,1.03823,0.000258075,0.000258075,0.000258075
131,1111.6,0.58131,0.44796,0.89916,0.84728,0.84247,0.85778,0.65589,0.90483,0.71394,1.04116,0.000254541,0.000254541,0.000254541
132,1119.94,0.5923,0.44705,0.90286,0.82289,0.8467,0.85644,0.65415,0.92266,0.70845,1.05131,0.000251007,0.000251007,0.000251007
133,1128.5,0.55842,0.41117,0.88617,0.84779,0.81951,0.8557,0.65854,0.90618,0.71601,1.05985,0.000247472,0.000247472,0.000247472
134,1136.8,0.54857,0.39522,0.87571,0.88309,0.81903,0.85749,0.65694,0.89802,0.70859,1.03577,0.000243938,0.000243938,0.000243938
135,1145.2,0.57509,0.4455,0.90126,0.85376,0.84183,0.86002,0.67471,0.89874,0.70742,1.03412,0.000240404,0.000240404,0.000240404
136,1153.51,0.55395,0.43039,0.89815,0.86807,0.83733,0.86745,0.67902,0.89817,0.68726,1.03291,0.000236869,0.000236869,0.000236869
137,1162.17,0.55967,0.42056,0.89425,0.87101,0.84816,0.86783,0.68127,0.89962,0.65996,1.04119,0.000233335,0.000233335,0.000233335
138,1170.62,0.55023,0.41251,0.88197,0.85064,0.86301,0.86731,0.67913,0.90255,0.67828,1.04016,0.000229801,0.000229801,0.000229801
139,1178.99,0.56103,0.4072,0.88859,0.84707,0.8423,0.8551,0.67517,0.90365,0.68664,1.03776,0.000226267,0.000226267,0.000226267
140,1187.35,0.58357,0.43121,0.91018,0.86925,0.80661,0.85498,0.67356,0.90196,0.70873,1.0393,0.000222732,0.000222732,0.000222732
141,1195.98,0.57259,0.41276,0.89205,0.8677,0.81661,0.85785,0.67031,0.89958,0.65995,1.03583,0.000219198,0.000219198,0.000219198
142,1204.38,0.52952,0.38689,0.87364,0.84209,0.83815,0.86264,0.66964,0.89845,0.69128,1.03756,0.000215664,0.000215664,0.000215664
143,1212.61,0.55786,0.40618,0.89523,0.83811,0.87513,0.86129,0.67023,0.89751,0.67557,1.03862,0.000212129,0.000212129,0.000212129
144,1221.03,0.53907,0.40195,0.88804,0.85155,0.86106,0.87794,0.67932,0.90228,0.66763,1.02651,0.000208595,0.000208595,0.000208595
145,1229.68,0.57183,0.41596,0.90119,0.85291,0.85654,0.88118,0.68686,0.89556,0.63918,1.02941,0.000205061,0.000205061,0.000205061
146,1238.14,0.57867,0.42045,0.8928,0.84953,0.87373,0.87889,0.6859,0.89879,0.68118,1.03238,0.000201527,0.000201527,0.000201527
147,1246.49,0.56336,0.42852,0.89275,0.87817,0.86543,0.87333,0.68013,0.90186,0.65543,1.03321,0.000197992,0.000197992,0.000197992
148,1254.8,0.56626,0.41081,0.89048,0.86216,0.87986,0.88032,0.69337,0.88662,0.67247,1.02944,0.000194458,0.000194458,0.000194458
149,1263.3,0.5495,0.40968,0.88616,0.8595,0.86926,0.87842,0.69095,0.89081,0.6764,1.02692,0.000190924,0.000190924,0.000190924
150,1271.65,0.53072,0.38362,0.86288,0.84854,0.87117,0.88304,0.68907,0.90921,0.64675,1.04151,0.000187389,0.000187389,0.000187389
151,1279.98,0.51719,0.36408,0.87544,0.84473,0.88005,0.88795,0.68979,0.8954,0.66093,1.03925,0.000183855,0.000183855,0.000183855
152,1288.64,0.55314,0.39585,0.87349,0.85278,0.85341,0.88316,0.68574,0.88787,0.67797,1.02868,0.000180321,0.000180321,0.000180321
153,1296.98,0.51495,0.37103,0.87584,0.87966,0.84522,0.88097,0.68874,0.89108,0.66654,1.03384,0.000176786,0.000176786,0.000176786
154,1305.28,0.54442,0.40983,0.87852,0.85755,0.84621,0.86767,0.67887,0.88437,0.6801,1.02599,0.000173252,0.000173252,0.000173252
155,1313.62,0.55109,0.40112,0.89024,0.86891,0.83721,0.879,0.6879,0.89736,0.67175,1.02961,0.000169718,0.000169718,0.000169718
156,1322.25,0.52773,0.39785,0.87651,0.84808,0.83874,0.868,0.67949,0.89069,0.69204,1.03132,0.000166183,0.000166183,0.000166183
157,1330.58,0.52106,0.40051,0.88315,0.83328,0.8487,0.86205,0.6711,0.8953,0.70393,1.02989,0.000162649,0.000162649,0.000162649
158,1338.9,0.55193,0.39939,0.87678,0.84418,0.84405,0.85993,0.67422,0.89001,0.70491,1.03153,0.000159115,0.000159115,0.000159115
159,1347.27,0.53389,0.39248,0.88584,0.867,0.82509,0.85992,0.67159,0.88931,0.69007,1.03502,0.000155581,0.000155581,0.000155581
160,1355.97,0.51617,0.36691,0.87051,0.86961,0.82238,0.86529,0.68664,0.90002,0.68386,1.0484,0.000152046,0.000152046,0.000152046
161,1364.35,0.5108,0.38916,0.88755,0.87662,0.84112,0.86519,0.67999,0.89151,0.66987,1.04236,0.000148512,0.000148512,0.000148512
162,1372.71,0.49739,0.36322,0.86708,0.856,0.84559,0.863,0.68358,0.8987,0.67743,1.04786,0.000144978,0.000144978,0.000144978
163,1381.05,0.53079,0.40128,0.88975,0.83476,0.87929,0.86848,0.6812,0.89595,0.66108,1.03998,0.000141443,0.000141443,0.000141443
164,1389.65,0.53094,0.40428,0.88928,0.8667,0.84175,0.86516,0.68579,0.88649,0.66755,1.03278,0.000137909,0.000137909,0.000137909
165,1398.01,0.52084,0.39513,0.88599,0.88944,0.83913,0.86676,0.68523,0.89663,0.68077,1.04758,0.000134375,0.000134375,0.000134375
166,1406.33,0.52323,0.38336,0.87864,0.85864,0.81853,0.86132,0.68358,0.89463,0.68751,1.03988,0.000130841,0.000130841,0.000130841
167,1414.67,0.49773,0.37228,0.87719,0.85884,0.84959,0.86622,0.6794,0.90005,0.68532,1.04308,0.000127306,0.000127306,0.000127306
168,1423.05,0.50406,0.35844,0.8653,0.86209,0.84517,0.86173,0.68359,0.88887,0.66747,1.038,0.000123772,0.000123772,0.000123772
169,1431.37,0.4992,0.36429,0.86912,0.86105,0.85444,0.86122,0.68085,0.89422,0.67221,1.04701,0.000120238,0.000120238,0.000120238
170,1439.68,0.52358,0.39802,0.88761,0.85953,0.85442,0.86251,0.68328,0.90155,0.68348,1.06092,0.000116703,0.000116703,0.000116703
171,1448.34,0.51996,0.37335,0.886,0.8724,0.85056,0.86568,0.6846,0.88516,0.66808,1.04835,0.000113169,0.000113169,0.000113169
172,1456.75,0.53517,0.4043,0.89511,0.87644,0.84027,0.86251,0.68059,0.89821,0.67894,1.05137,0.000109635,0.000109635,0.000109635
173,1465.15,0.50938,0.39801,0.88246,0.84422,0.85189,0.86476,0.68174,0.89809,0.67169,1.04888,0.0001061,0.0001061,0.0001061
174,1473.5,0.50646,0.37671,0.87257,0.84695,0.86145,0.87117,0.67685,0.90605,0.68061,1.05895,0.000102566,0.000102566,0.000102566
